name,comment
"@thanhthongle2479
3 tháng trước",điều ấn tượng nhất là anh này vừa biết kt và vừa biết triết học
"@xuanquangle-re3dm
3 tháng trước",the more request on finance i see the more philosophy videos i make
"@QuyenNguyen-qb5fq
3 tháng trước (đã chỉnh sửa)",triết học là đưa cho chúng ta một câu hỏi để chúng ta dùng một câu hỏi khác để trả lời cứ thế nối tiếp đến vô tận
"@mikaohlala4316
3 tháng trước",bây giờ mà thấy anh thành ra video là dzui như thấy idol ra mv
"@levietanh8888
3 tháng trước",nền tảng kiến thức đỉnh thật
"@duchaminh2502
3 tháng trước",rất thích video về triết học của anh thành dù lượt xem không có đột biến như các video về chủ đề kinh tế nhưng hy vọng anh vẫn giữ được lửa và ra nhiều video về triết học hơn nữa
"@honganhnguyen8149
1 tháng trước",hữu duyên rẽ vô video này của anh và dính ngay từ những phút đầu lun huhu cảm ơn anh về những videos thật giá trị và hấp dẫn có chiều sâu về tư duy như thế này ạ
"@phongluu5321
1 tháng trước",bất lực trước những mâu thuẫn nhưng sẽ cố gắng
"@hiennguyen-hnh30
3 tháng trước",vậy mới thấy tư bản luôn phát triển đi đầu vị họ luôn cho con người sự khai phóng trong trí tuệ và tư duy nhận thức
"@ndbach769
1 tháng trước (đã chỉnh sửa)",cảm ơn anh vì đã xây dựng nội dung có ích cho cộng đồng
"@LoanThuy-vs1sd
2 tháng trước",em là fan của anh trước đây những thứ liên quan đến triết em thấy rất khô khan đến khi gặp anh em cảm ơn anh hi vọng anh sẽ up tiếp những video ạ
"@HoangThy1111
1 tháng trước",coi xong clip ổng đi tìm sách đọc anw cảm ơn anh đã khơi gợi lên sự tò mò về triết của tui
"@littlemike2405
3 tháng trước",sống thêm 1 ngày nữa để xem vid anh thành
"@lqtPC02
3 tháng trước",nghe phân tích trò chuyện về triết lí học hay nhỉ
"@thanhbinhnguyen3851
3 tháng trước",nguồn sách phải trái đúng sai hầu như trong cuốn này
"@nameno3041
3 tháng trước",triết học thật là nhức nhức cái đầu nhưng nó lại đem đến cho chúng ta cái nhìn rất khác và rất sâu sắc về cuộc sống
"@NamLe-hj2xi
3 tháng trước",cá nhân mình thích những video anh làm nó nhẹ nhành từ từ dễ tiêu hoá nội dung ngắn gọn cỡ 30p mình thấy khá hợp lí cho mỗi buổi cafe nghe nếu được mong anh ra thêm nhiều video kinh tế thank
"@S-ARMYQUEEN
3 tháng trước",t đã hóng đến mức đi xem lại mấy vid từ 5 năm trc của ổng
"@ThanhPham-1603
3 tháng trước",không một video nào của ah thành mà mình không để lại một cái like
"@ngocnghianguyen6253
2 tháng trước",thanks god em vẫn ở đây khi ra vid mới
"@muathuhanoi2
1 tháng trước",nhạc end credits to quá bạn ơi ban tối nghe chói tai lắm giật mình luôn b dùng âm thanh du dương khác được ko
"@nhutduytang8785
1 tháng trước",kể từ phút 13 02 trở đi đối với tôi nơ như chân trời mới vậy nghệ thuật phản biện gần như quá đổi đỉnh cao nó thực sự blow me away khi mà người ta có thể suy tư một cách tỉ mỉ đến vậy
"@nongnang-y9h
3 tháng trước",trời ơi lâu lắm rồi mới thấy ổng lên video
"@nhbngoc0502
3 tháng trước (đã chỉnh sửa)",em đã theo dõi serie philosophy 101 từ những ngày đầu tiên và chưa từng nghĩ sau 2 năm em vẫn còn ở đây và để lại dòng bình luận này chúc anh thật nhiều sức khoẻ và mong anh duy trì serie này dài dài ạ
