name,comment
"@hoc_iswho
4 năm trước",1:48 +2 điểm đại học
"@DucNguyen-si5sk
4 năm trước (đã chỉnh sửa)",1:27:)))))))) :v (nhiều like vãi thanks Mn)
4 năm trước,Đc quá ô Duck ơi. Hài vlon =))))
"@minhchaune8576
4 năm trước",1:06 Ngồi cừi sặc sặc như điên luôn :)
"@Designer-z2t
4 năm trước",1:02 *chết mẹ rồi bây giờ phải làm sao chắc tìm cách hòa giải nó*
"@nakashimaendo11
4 năm trước",1:41 lịt mẹ ;))
"@sakurajimanaibu363
4 năm trước",0:26 đm sặc cơm :))
"@AnhTran-mr9hm
4 năm trước",1:21 buscu freestyle
"@TWSMedia
4 năm trước",Hài cười i* ra quần luôn đó Duck ơi =))
"@junior-b6d4z
4 năm trước",1:21 Cười đau cả bụng :)))
"@doroi14
4 năm trước","Bản gốc của 102 production đã hài rồi, bên Duck còn vip dữ nữa"
"@bakninkhood8073
4 năm trước",0:25 lú
"@axl_s822
4 năm trước",0:40 nghe hop vl :))
"@hong.ngoc_nghean
4 năm trước",Lần đầu coi nên cười cả ngày luôn
"@chaonguyen2504
3 năm trước",Phải nói thật thì ông này edit hài và bựa :)))))
"@fungamingvn3599
4 năm trước",Trình edit của duck đã lên một tầm cao mới :))
"@kitole4846
4 năm trước (đã chỉnh sửa)",1:26 hài thật đấy :))) 1:53 mắc cười quá :))))
"@kpnndau
4 năm trước",1:13 =))) hề chúa
"@gdminhuc236
4 năm trước",Duck edit giỏi quá mặn mà theo năm tháng (((:
"@LeoMasterH
3 năm trước",sức sáng tạo của ông chủ kênh mặn vl =))
"@phathuynh7113
4 năm trước",0:26 ăn xin vô cực:))))
"@Duong_Vu
4 năm trước",0:40 chữ coặc nhưng tôi cười ỉa về nó :))))
"@kaeakii
4 năm trước",0:47 đọu má cừiii vailonn
"@_th.huynn_dayy
3 năm trước",=) hạn hán lời với cái vựa muối của ông đây Duck
"@hello-tc9kd
4 năm trước",Coi đi 2 tháng coi lại vẫn hay :)
"@dogdeeptry3621
4 năm trước",1 video nói về bộ phận sinh dục nam và sự quan hệ mẫu thân :)))
"@kimthucnopro
4 năm trước",Đau bụng vãi bìu Xem mãi k chán
"@anhchuvuive8146
4 năm trước",Anh bạn à phiên bản “tận cùng của sự biến thái”
"@KySuuongPhovn
3 năm trước",0:17 t cười duma gần chết
"@kermitlefrogo
3 năm trước",Thế là một chiếc meme huyền thoại đã ra đời
"@dwxtien
4 năm trước",1:40 Người Nhà wee
"@LinhNguyen-pl6ox
4 năm trước (đã chỉnh sửa)",0:25 Tao đạp giày mày là mày đạp giày tao mày đạp giày mày xong mày đạp giày tao ?
"@vinhctlg5808
4 năm trước (đã chỉnh sửa)",1:23 Cười ỉa cục cớt =))
"@anha843
4 năm trước","Má nó, cười sảng hết cả buổi sáng =)))))"
"@Tiwisted2207
3 năm trước",Đm mới đi làm về áp lực xem lại vid cũ cười ỉa ra quần:))))
"@phucdaik8771
4 năm trước","Siêu phẩm nữa rồi duck mắm tôm ơi, làm thêm video của 102 đi, coi replay cười sặc cơm lun...."
"@bentauhuy3263
4 năm trước",1:25 gì zậy :)))))
"@SRVietnam4475
4 năm trước",That Cheap Chinese Phone Toy got me real good
"@galaxybin-cm3yw
3 năm trước",Má video mày cười sắp bể bụng rồi DUY ơi:))))
"@PHAT758
1 năm trước",0:27 “đạp giày tao là mày đạp giày tao tao đạp giày tao là mày đạp giày tao mày đạp giày mày xong mày đạp giày tao tao đạp mày về mày đạp tao”
