name,comment
"@DuckBatman
4 năm trước",LINK ÁO MXÌ CHEEMMMMS : https://tokago.vn/toi-muon/2958-ao-mxi-cheems.html LIÊN HỆ DUCK : https://www.facebook.com/duckbadman98/
"@virussreaction
4 năm trước",me' sac. ca mi` .. man*. vai ca piuuu
"@meGAME_Official
4 năm trước",Đỉnh thế nhờ
"@scheem697
4 năm trước",1:11 Thích nhất khúc đó
"@CuoKhongDuoiBau
4 năm trước",0:19 2 ông này buồn cười vvv
"@OngGiaTheLuc
4 năm trước",Tôi phải thừa nhận Duck là 1 thiên tài âm nhạc
"@lifeshortclip
4 năm trước",1:06 úmbala úmbala
"@manhtien2587
4 năm trước",1:06 úm ba la =)))
"@nguyenanhkhoa206
4 năm trước (đã chỉnh sửa)",1:08 phóng lợn :))
"@NOTVitaminA
2 tháng trước",10/2025 anyone?
"@huynguyengia9399
4 năm trước","Nhạc giới chẻ (hai mái) h nghe nó có Sức Gợi cảm cao ghê, từ những phép ss, ẩn dụ tới những hình ảnh tả thực sinh động, ôi thật là hào hùng, ABALA TRAP"
"@thehollow2449
4 năm trước (đã chỉnh sửa)",1:06 khi mày đang làm ảo thuật khoe đám bạn thì bọn nó hỏi mày có người yêu chưa :)))
"@khoiinh3968
4 năm trước",0:19 =)))))))
"@boxerkay2218
4 năm trước (đã chỉnh sửa)",1:07 cười ỉa chú Cường vê lốc
"@choushi06
4 năm trước (đã chỉnh sửa)","1:10 Lmạy hmồn Josuke :)))) Nhưng edit đỉnh vcl luôn ạ :)))))))))) Làm cuốn vãi huhu, tặng 1 like này :> Edit: Giờ thì sub luôn r đấy :>>>>"
"@Leoontop-k8z
1 tháng trước",2025 vẫn nghe phê ác :))
"@HoangNam0
4 năm trước",1:06 lần nào xem lại cũng nhịn cười đéo được
"@DatNguyenH
4 năm trước",1:13 điệu cười éo lẫn vào đâu được
"@randomguyontheinternet6885
4 năm trước",“Tụi tao là tụi tao còn tụi mày là tụi tao còn tụi tao là tụi trap” -Duck batman 2021 (maybe)
"@thanhsonnguyen238
4 năm trước","Tôi chưa bao giờ nghe cái bài hát nào mà nó chân thật và súc thích , thản nhiên như vậy"
"@Dal-matian
4 tháng trước",Tự nhiên ytb recommend lại =)))
